address,network,netgroup,asn
91.215.91.254,ipv4,91.215.0.0/16,AS48078
94.19.7.55,ipv4,94.19.0.0/16,AS35807
2806:264:4486:65f:7db0:f462:b669:624a,ipv6,2806:264::/32,AS4134
24.168.44.118,ipv4,24.168.0.0/16,AS12271
20.210.226.26,ipv4,20.210.0.0/16,AS8075
77.173.132.140,ipv4,77.173.0.0/16,AS1136
218.64.89.198,ipv4,218.64.0.0/16,AS4134
162.19.232.208,ipv4,162.19.0.0/16,AS16276
120.79.92.64,ipv4,120.79.0.0/16,AS37963
2a01:4f8:171:3248::2,ipv6,2a01:4f8::/32,AS24940
2600:1900:40f0:964b:0:1::,ipv6,2600:1900::/32,AS15169
158.101.98.33,ipv4,158.101.0.0/16,AS31898
2a01:e0a:301:7010:b87d:e14b:cea9:b998,ipv6,2a01:e0a::/32,AS3549
41.103.237.37,ipv4,41.103.0.0/16,AS36947
2a01:4f8:150:44d4::2,ipv6,2a01:4f8::/32,AS24940
142.93.105.254,ipv4,142.93.0.0/16,AS14061
62.238.148.104,ipv4,62.238.0.0/16,AS15435
47.145.102.74,ipv4,47.145.0.0/16,AS5650
37.187.118.77,ipv4,37.187.0.0/16,AS16276
95.217.108.172,ipv4,95.217.0.0/16,AS24940
88.198.197.183,ipv4,88.198.0.0/16,AS24940
82.66.227.154,ipv4,82.66.0.0/16,AS12322
47.250.129.151,ipv4,47.250.0.0/16,AS45102
198.50.186.244,ipv4,198.50.0.0/16,AS16276
34.87.251.98,ipv4,34.87.0.0/16,AS396982
167.235.116.188,ipv4,167.235.0.0/16,AS24940
2a01:4f8:161:9230::2,ipv6,2a01:4f8::/32,AS24940
104.248.160.118,ipv4,104.248.0.0/16,AS14061
212.51.132.176,ipv4,212.51.0.0/16,AS13030
149.102.139.50,ipv4,149.102.0.0/16,AS174
2a01:4f8:200:9436::2,ipv6,2a01:4f8::/32,AS24940
51.255.92.45,ipv4,51.255.0.0/16,AS16276
135.181.216.222,ipv4,135.181.0.0/16,AS24940
162.219.38.94,ipv4,162.219.0.0/16,AS10099
2a02:1210:88fe:4500:eeb4:a1c8:118f:1949,ipv6,2a02:1210::/32,AS714
216.18.188.159,ipv4,216.18.0.0/16,AS29789
145.239.95.219,ipv4,145.239.0.0/16,AS16276
97.75.144.9,ipv4,97.75.0.0/16,AS22709
77.163.136.136,ipv4,77.163.0.0/16,AS1136
15.235.54.217,ipv4,15.235.0.0/16,AS16276
174.2.15.47,ipv4,174.2.0.0/16,AS6327
38.242.209.115,ipv4,38.242.0.0/16,AS174
72.95.19.38,ipv4,72.95.0.0/16,AS701
144.76.58.238,ipv4,144.76.0.0/16,AS24940
2a02:c207:2024:6115::1,ipv6,2a02:c207::/32,AS51167
205.134.172.6,ipv4,205.134.0.0/16,AS6405
210.54.39.238,ipv4,210.54.0.0/16,AS4771
2a01:e0a:bf6:8d70:20c:29ff:fe30:4fd2,ipv6,2a01:e0a::/32,AS12322
